state,district,year,quarter,transaction_count,transaction_amount
Tamil Nadu,tiruchirappalli district,2019,4,1364259,2850823022.8616314
Tamil Nadu,ramanathapuram district,2019,4,217020,466879310.9724102
Tamil Nadu,krishnagiri district,2019,4,1302647,2599923579.484123
Tamil Nadu,cuddalore district,2019,4,554320,1069462594.6879781
Tamil Nadu,kancheepuram district,2019,4,3134851,4643283492.789846
Tamil Nadu,tiruppur district,2019,4,2020118,4339514037.303126
Tamil Nadu,dharmapuri district,2019,4,545240,1179249689.0943723
Tamil Nadu,thoothukkudi district,2019,4,334748,673765706.7351946
Tamil Nadu,thanjavur district,2019,4,634748,1089380865.8971028
Tamil Nadu,madurai district,2019,4,1315576,2775348044.296371
Tamil Nadu,tiruvannamalai district,2019,4,561787,1076989969.0761592
Tamil Nadu,salem district,2019,4,1754893,3897469229.2628374
Tamil Nadu,nagapattinam district,2019,4,234840,461426174.73255897
Tamil Nadu,tirupathur district,2019,4,385208,757709091.2759188
Tamil Nadu,ariyalur district,2019,4,135252,270334848.5944755
Tamil Nadu,chennai district,2019,4,16437269,31810645818.308853
Tamil Nadu,the nilgiris district,2019,4,254745,537415179.52037
Tamil Nadu,erode district,2019,4,1092587,2315486948.9064226
Tamil Nadu,karur district,2019,4,303847,651278224.9980934
Tamil Nadu,kallakkurichi district,2019,4,293430,615206202.5476354
Tamil Nadu,viluppuram district,2019,4,478192,911152034.8421421
Tamil Nadu,pudukkottai district,2019,4,250329,513371629.4764075
Tamil Nadu,perambalur district,2019,4,130104,262954158.27917016
Tamil Nadu,coimbatore district,2019,4,5937176,11949970482.923735
Tamil Nadu,virudhunagar district,2019,4,371435,780408757.3399825
Tamil Nadu,dindigul district,2019,4,570988,1157558219.820724
Tamil Nadu,sivaganga district,2019,4,293949,681274042.3255894
Tamil Nadu,tenkasi district,2019,4,193559,403713924.4305418
Tamil Nadu,chengalpattu district,2019,4,7809082,9083457170.596087
Tamil Nadu,kanniyakumari district,2019,4,421655,795547991.5668749
Tamil Nadu,tirunelveli district,2019,4,360780,745395226.0570003
