state,year,quarter,brand,user_count
Chhattisgarh,2020,1,Oppo,328835
Chhattisgarh,2020,1,Micromax,253971
Chhattisgarh,2020,1,Realme,196352
Chhattisgarh,2020,1,Apple,47890
Chhattisgarh,2020,1,OnePlus,43526
Chhattisgarh,2020,1,Motorola,34414
Chhattisgarh,2020,1,Lenovo,29426
Chhattisgarh,2020,1,Others,234811
Chhattisgarh,2022,1,Vivo,1531319
Chhattisgarh,2022,1,Xiaomi,1301387
Chhattisgarh,2022,1,Samsung,843988
Chhattisgarh,2022,1,Oppo,702141
Chhattisgarh,2022,1,Realme,629948
Chhattisgarh,2022,1,Micromax,255953
Chhattisgarh,2022,1,OnePlus,99485
Chhattisgarh,2022,1,Apple,96555
Chhattisgarh,2022,1,Tecno,57754
Chhattisgarh,2022,1,Infinix,53501
Chhattisgarh,2022,1,Others,344930
Chhattisgarh,2021,4,Vivo,1423389
Chhattisgarh,2021,4,Xiaomi,1243356
Chhattisgarh,2021,4,Samsung,821562
Chhattisgarh,2021,4,Oppo,651316
Chhattisgarh,2021,4,Realme,551719
Chhattisgarh,2021,4,Micromax,262792
Chhattisgarh,2021,4,OnePlus,87470
Chhattisgarh,2021,4,Apple,87360
Chhattisgarh,2021,4,Infinix,47609
Chhattisgarh,2021,4,Tecno,44668
Chhattisgarh,2021,4,Others,344240
Chhattisgarh,2021,2,Vivo,1169224
Chhattisgarh,2021,2,Xiaomi,1101581
Chhattisgarh,2021,2,Samsung,778803
Chhattisgarh,2021,2,Oppo,550796
Chhattisgarh,2021,2,Realme,397105
Chhattisgarh,2021,2,Micromax,302906
Chhattisgarh,2021,2,Apple,69177
Chhattisgarh,2021,2,OnePlus,61100
Chhattisgarh,2021,2,Motorola,41735
Chhattisgarh,2021,2,Huawei,34225
Chhattisgarh,2021,2,Others,330403
Chhattisgarh,2021,3,Vivo,1306833
Chhattisgarh,2021,3,Xiaomi,1175329
Chhattisgarh,2021,3,Samsung,796963
Chhattisgarh,2021,3,Oppo,605302
Chhattisgarh,2021,3,Realme,464310
Chhattisgarh,2021,3,Micromax,283826
Chhattisgarh,2021,3,Apple,75098
Chhattisgarh,2021,3,OnePlus,74197
Chhattisgarh,2021,3,Motorola,41449
Chhattisgarh,2021,3,Infinix,38832
Chhattisgarh,2021,3,Others,343945
Chhattisgarh,2021,1,Vivo,1059097
Chhattisgarh,2021,1,Xiaomi,1035868
Chhattisgarh,2021,1,Samsung,741544
